School_ID,LinkedClubs,Region,LocalAuthority,SEEDCode,Postscode,SchoolType,School
430,none,West,Glasgow City Council,8411026,G13 3BH,Primary,Corpus Christi Primary School
472,Glasgow South Saltires Netball Club,West,Glasgow City Council,8411328,G44 5QQ,Primary,Croftfoot Primary School
505,none,West,Glasgow City Council,8411425,G42 7RJ,Primary,Cuthbertson Primary School
515,none,West,Glasgow City Council,8411522,G40 3BA,Primary,Dalmarnock Primary School
2201,Harmony Row Netball Club,West,Glasgow City Council,8459932,G15 7SQ,Secondary,Drumchapel High School
2491,none,West,Glasgow City Council,8440344,G15 7NH,ASN,Drummore School (ASN)
573,Maryhill Netball Community Club,West,Glasgow City Council,8412022,G20 6RL,Primary,Dunard Primary School
2213,none,West,Glasgow City Council,8433232,G32 9AA,Secondary,Eastbank Academy
618,none,West,Glasgow City Council,8412227,G32 0HA,Primary,Eastbank Primary School
2493,Broomhill Sports Club,West,Glasgow City Council,8440441,G33 4QL,ASN,Eastmuir School (ASN)
641,none,West,Glasgow City Council,8412529,G22 6ED,Primary,Elmvale Primary School
714,none,West,Glasgow City Council,8412723,G3 6TX,Primary,Garnetbank Primary School
716,none,West,Glasgow City Council,8412820,G13 4AY,Primary,Garscadden Primary School
755,none,West,Glasgow City Council,8444323,G41 1NX,Primary,Glendale Primary School
769,none,West,Glasgow City Council,8412928,G31 2QF,Primary,Golfhill Primary School
2238,none,West,Glasgow City Council,8433836,G51 4NB,Secondary,Govan High School
777,none,West,Glasgow City Council,8413029,G53 6JB,Primary,Gowanbank Primary School
2506,none,West,Glasgow City Council,8443440,G5 0HP,ASN,Hampden School (ASN)
2508,none,West,Glasgow City Council,8441243,G41 5NG,ASN,Hazelwood School (ASN)
2588,Broomhill Sports Club,West,Glasgow City Council,8406545,G20 9HW,ASN,Highpark Unit (ASN)
2255,none,West,Glasgow City Council,8434239,G12 8LJ,Secondary,Hillhead High School
2256,none,West,Glasgow City Council,8434336,G43 2XA,Secondary,Hillpark Secondary School
2259,Holyrood Netball Club (Glasgow),West,Glasgow City Council,8434530,G42 8AU,Secondary,Holyrood Secondary School
877,Broomhill Sports Club,West,Glasgow City Council,8414521,G11 5LP,Primary,Hyndland Primary School
2260,Broomhill Sports Club,West,Glasgow City Council,8434638,G12 9RQ,Secondary,Hyndland Secondary School
2274,Maryhill Netball Community Club,West,Glasgow City Council,8458731,G23 5LY,Secondary,John Paul Academy
912,none,West,Glasgow City Council,8422621,G45 9UR,Primary,John Paul II Primary School (St Dominics RCPS)
2520,none,West,Glasgow City Council,8441146,G20 8LH,ASN,Kelbourne School (ASN)
929,Broomhill Sports Club,West,Glasgow City Council,8414823,G12 0BP,Primary,Kelvindale Primary School
969,Glasgow South Saltires Netball Club,West,Glasgow City Council,8415129,G44 4JS,Primary,King's Park Primary School
2285,none,West,Glasgow City Council,8435138,G44 5BL,Secondary,King's Park Secondary School
2525,none,West,Glasgow City Council,8441448,G45 0NJ,ASN,Kirkriggs School (ASN)
1020,Broomhill Sports Club,West,Glasgow City Council,8415226,G13 2TE,Primary,Knightswood Primary School
2295,none,West,Glasgow City Council,8435634,G13 2XD,Secondary,Knightswood Secondary School
1052,none,West,Glasgow City Council,8415420,G41 3JW,Primary,Langside Primary School
2311,none,West,Glasgow City Council,8435731,G34 0NZ,Secondary,Lochend Community High School
2537,Broomhill Sports Club,West,Glasgow City Council,8452741,G11 5BP,ASN,Middlefield School (ASN)
2539,none,West,Glasgow City Council,8446547,G22 7HL,ASN,Milton School (ASN)
1218,The Nets,West,Glasgow City Council,8416729,G22 7PT,Primary,Miltonbank Primary School
1247,none,West,Glasgow City Council,8417024,G42 9HF,Primary,Mount Florida Primary School
2540,none,West,Glasgow City Council,8443742,G33 4HH,ASN,Newhills Secondary (ASN)
2344,none,West,Glasgow City Council,8436134,G12 9LN,Secondary,Notre Dame High School
1329,Broomhill Sports Club,West,Glasgow City Council,8417520,G12 9JL,Primary,Notre Dame Primary School
1332,none,West,Glasgow City Council,8400121,G34 0JD,Primary,Oakwood Primary School
1351,none,West,Glasgow City Council,8423822,G33 4RY,Primary,Our Lady of Peace RC Primary School
1354,none,West,Glasgow City Council,8418225,G52 3AA,Primary,Our Lady of the Rosary Primary School
2545,none,West,Glasgow City Council,8441340,G31 3LP,ASN,Parkhill School (ASN)
1380,North Glasgow Netball Club,West,Glasgow City Council,8446822,G23 5PZ,Primary,Parkview Primary School
1416,none,West,Glasgow City Council,8418721,G41 2NA,Primary,Pollokshields Primary School
1439,Eastbank Netball Club,West,Glasgow City Council,8418926,G31 5AL,Primary,Quarrybrae Primary School
2556,none,West,Glasgow City Council,8442045,G22 7DD,ASN,Rosevale School (ASN)
2374,none,West,Glasgow City Council,8436339,G52 3PD,Secondary,Rosshall Academy
1494,none,West,Glasgow City Council,8419221,G21 2NU,Primary,Royston Primary School
1495,Maryhill Netball Community Club,West,Glasgow City Council,8419426,G20 9HW,Primary,Ruchill Primary School
1507,none,West,Glasgow City Council,8445028,G33 4SA,Primary,Sandaig Primary School
1519,none,West,Glasgow City Council,8428328,G22 5AX,Primary,Saracen Primary School
1536,none,West,Glasgow City Council,8428824,G41 3QP,Primary,Shawlands Primary School
2388,none,West,Glasgow City Council,8437130,G33 2QU,Secondary,Smithycroft Secondary School
2390,none,West,Glasgow City Council,8431639,G21 4JL,Secondary,Springburn Academy
1588,Glasgow South Saltires Netball Club,West,Glasgow City Council,8419922,G41 5DU,Primary,St Alberts RC Primary School
2397,none,West,Glasgow City Council,8437238,G32 6QE,Secondary,St Andrew's Secondary School
1602,none,West,Glasgow City Council,8448825,G53 7HT,Primary,St Angelas RC Primary School
1605,Eastbank Netball Club,West,Glasgow City Council,8420424,G40 2UN,Primary,St Annes RC Primary School
1616,none,West,Glasgow City Council,8420823,G34 0LT,Primary,St Benedict's RC Primary School
1620,none,West,Glasgow City Council,8420920,G53 7BP,Primary,St Bernard's RC Primary School
1622,Maryhill Netball Community Club,West,Glasgow City Council,8446725,G23 5QB,Primary,St Blanes RC Primary School
